District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity
99,RAJASTHAN,Ganganagar,1969168,1043340,925828,1193343,710908,482435,720412,376734,343678,13477,7160,6317,912672,596320,316352,680563,232109,1056496,268297,230438,13790,400147,1437144,50688,2077,474853,938,1988,164,1316,88543,283142,6295,24901,397697,164897,562594,237042,314107,238397,163098,105734,104071,19396,1181845,710223,1892068,1167889,502211,283484,15584,149905,21515,75327,85320,8003,245365,15323,181616,284669,31301,10212,317953,332389,316783,330298,23354,127944,108,234228,1536,1396,14754,41488,54612,5249,29267,56,28054,14937,59879,101909,236712,16832,274355,4556,9836,27061,36897,38326,205706,84197,83183,106572,24702,35256,257909,63985,18448,21776,2759,569,30207,327,997,958,1955,168,148,316,157,254,411,322,3332
100,RAJASTHAN,Hanumangarh,1774692,931184,843508,1034136,624281,409855,494189,258352,235837,14289,7578,6711,835260,512802,322458,642109,193151,939432,370452,166833,13839,284136,1433067,118673,1542,216997,241,1935,138,2099,55515,243163,3360,16217,389059,108694,497753,239601,273441,219194,153628,104087,84185,14416,1088552,723454,1812006,1058044,453114,242361,21173,93418,16537,56817,56973,6353,221056,7808,140280,249474,22065,8365,294975,278085,278373,306363,11944,87483,42,223672,699,525,18868,50786,48544,1005,27588,57,13223,15085,50036,100071,192913,21671,246593,9019,6235,19543,25778,30391,177261,75419,71451,97663,28169,35887,216660,61217,22375,26672,3510,787,24322,287,840,759,1599,123,114,237,133,215,348,239,2709
101,RAJASTHAN,Bikaner,2363937,1240801,1123136,1278801,782399,496402,493646,259532,234114,7779,4207,3572,986208,640572,345636,752768,233440,1377729,499223,103833,26244,356908,2073356,235741,1901,20072,285,30850,79,1653,108812,220793,7607,29531,335754,196179,531933,410155,333211,254335,143669,80296,101714,18577,1341957,1015331,2357288,1543867,517271,288165,14634,97914,17113,73365,68379,9934,258313,15765,138480,287946,19699,14160,345409,301031,195188,349733,17010,83670,235,34675,18947,18386,16149,74939,179589,2717,42877,133,32076,32053,95243,99339,194668,30981,224200,37355,6510,19588,26098,26627,152709,55756,70326,139477,57686,81963,239576,71678,30558,42151,8393,3200,22565,320,1004,995,1999,178,159,337,160,260,420,335,3411
102,RAJASTHAN,Churu,2039547,1051446,988101,1149269,696729,452540,451721,235113,216608,11245,5903,5342,902829,541404,361425,628381,274448,1136718,572644,87983,16594,225608,1777879,249736,958,402,188,7104,127,3153,74197,231696,2577,15259,344897,148996,493893,336671,302022,237220,161520,100677,77282,13320,1228712,910226,2138938,1293193,458725,272176,15453,46531,9938,50369,27698,8872,239082,4720,131174,268431,20477,16925,311578,268120,200805,338115,6521,48243,42,39076,336,230,18618,79231,145862,9512,25206,74,278,19862,34650,131525,153018,14436,268551,22958,4813,15648,20461,24835,157157,60723,71599,123209,46524,62808,217710,69555,29997,39372,7125,2250,20714,373,1056,931,1987,139,157,296,178,289,467,238,3361
103,RAJASTHAN,Jhunjhunun,2137045,1095896,1041149,1370360,815834,554526,360709,185879,174830,41629,21380,20249,894649,541392,353257,592813,301836,1242396,521692,68878,13472,290607,1905682,228178,1004,275,56,548,85,1217,131987,297559,4828,24178,500452,150357,650809,296093,305626,301866,256621,192240,158936,25286,1536668,712584,2249252,1298780,494124,330126,14015,74695,15861,68472,59920,17804,260755,9276,189511,314807,36248,8656,336430,297078,205571,371091,9196,55618,81,19009,395,148,24802,86586,177248,17774,104352,149,110,13359,23575,142622,191632,9957,231401,87590,6532,19200,25732,33294,189011,75177,80540,122785,46136,49410,239984,74557,30255,38856,6711,1890,30267,354,1021,945,1966,122,144,266,162,264,426,288,3300
104,RAJASTHAN,Alwar,3674179,1939026,1735153,2182476,1359829,822647,653036,342938,310098,289249,153397,135852,1708542,994171,714371,1179461,529081,1965637,898891,216772,34562,558317,3039279,547335,2696,64532,4384,13221,348,2384,123478,485723,9750,45770,782294,212967,995261,492781,492981,468628,324050,230415,222622,31390,2262867,1384905,3647772,2346721,836000,490137,1321,242678,30207,108846,179435,18353,425909,22416,258862,477446,33184,20145,514708,330836,172919,595153,27599,131914,214,16795,1650,1170,8210,298077,452398,40306,376001,138,169,11388,19551,259700,216309,7856,189088,196407,14425,40322,54747,52787,288169,114385,120997,205655,80342,152904,403740,113701,49889,65112,11527,3696,46360,544,1700,1542,3242,447,209,656,241,390,631,661,5732
105,RAJASTHAN,Bharatpur,2548462,1355726,1192736,1480869,943910,536959,557305,296293,261012,54090,28705,25385,1071154,647198,423956,694929,376225,1477308,500994,238894,25068,306198,2143046,371286,1576,23456,899,5758,18,2423,61113,288723,4179,26106,479437,129697,609134,363676,330336,314953,211938,147520,132571,23311,1524305,1104824,2629129,1659515,546362,329127,13458,152915,10349,44465,99846,10763,278181,8429,160190,303255,14311,18001,353111,198184,85903,411145,8732,109417,118,2296,961,780,3227,225423,335465,101271,202167,91,92,12108,15152,146614,103790,2861,101103,47246,8505,26036,34541,32727,174085,63336,78022,154757,60224,173203,282742,69981,29251,38271,6974,2046,32613,408,1161,1046,2207,132,158,290,185,301,486,308,3699
106,RAJASTHAN,Dhaulpur,1206516,653647,552869,683098,435721,247377,245695,131875,113820,58594,31802,26792,523212,339110,184102,317617,205595,683304,229936,74342,12721,206213,1127520,72258,688,1356,92,2739,21,1842,24561,96086,1330,9504,214670,58626,273296,207566,172914,132964,77360,45590,37856,8194,682444,552106,1234550,815651,248416,141365,1084,80614,3614,16775,31120,4235,109488,2139,51423,117770,4047,12024,178426,77503,33172,195242,4973,48392,59,1231,800,270,1160,124681,168235,25201,137091,91,197,890,2614,108776,42599,1436,35615,7093,4893,14102,18995,17283,78118,26244,34591,78457,26614,50809,141825,28860,8921,11666,2121,624,19833,216,547,414,961,66,78,144,97,157,254,68,1641
107,RAJASTHAN,Karauli,1458248,783639,674609,805849,531904,273945,354465,189249,165216,324960,176200,148760,628726,371058,257668,438337,190389,829522,335302,115367,9521,168536,1370977,81553,602,297,70,3424,413,912,28296,132079,1059,13045,305047,59308,364355,220644,193938,170399,104208,69443,67639,14402,840673,668926,1509599,947173,310688,192042,8345,52008,3820,23198,35486,2891,157750,2021,49752,166652,6011,13804,178407,69366,41754,256601,4524,35584,69,4865,1049,603,1826,193293,220149,47230,146833,111,108,4322,12015,113262,50675,7474,54328,55000,7143,20306,27449,22939,113609,40877,49793,94555,27046,98722,180863,40760,14651,18963,3409,903,22073,226,633,552,1185,72,81,153,99,161,260,164,1987
108,RAJASTHAN,Sawai Madhopur,1335551,704031,631520,741748,486184,255564,278789,146333,132456,285848,152745,133103,578068,343802,234266,418555,159513,757483,313358,88804,12070,163836,1165505,155681,945,812,177,9991,42,2398,40116,140947,1887,14310,282057,71264,353321,205450,172925,151108,87349,57625,70870,14384,759711,586492,1346203,841697,309237,183234,1383,66594,4398,32172,41953,4722,157946,3526,61935,171024,8356,10366,198019,81379,52475,243362,7424,34744,110,3732,2764,2310,1224,172608,201034,43743,147768,115,229,2710,5515,111924,56544,2461,54946,35191,8233,23742,31975,24892,118651,43727,50032,82789,20572,85519,175484,41668,11899,15234,2651,684,21601,204,593,533,1126,81,80,161,94,152,246,164,1900
