state_name,lg_dist_code,district_name,micro,small,medium,total,last_updated
RAJASTHAN,86,AJMER,69344,1891.0,118.0,71353,2023-08-27
RAJASTHAN,87,ALWAR,62232,2058.0,225.0,64515,2023-08-27
RAJASTHAN,88,BANSWARA,15211,214.0,6.0,15431,2023-08-27
RAJASTHAN,89,BARAN,13494,316.0,24.0,13834,2023-08-27
RAJASTHAN,90,BARMER,34177,1207.0,64.0,35448,2023-08-27
RAJASTHAN,91,BHARATPUR,21882,547.0,49.0,22478,2023-08-27
RAJASTHAN,92,BHILWARA,60439,1514.0,128.0,62081,2023-08-27
RAJASTHAN,93,BIKANER,57682,1688.0,106.0,59476,2023-08-27
RAJASTHAN,94,BUNDI,15976,243.0,18.0,16237,2023-08-27
RAJASTHAN,95,CHITTORGARH,32144,632.0,33.0,32809,2023-08-27
RAJASTHAN,96,CHURU,34850,402.0,15.0,35267,2023-08-27
RAJASTHAN,97,DAUSA,22322,302.0,11.0,22635,2023-08-27
RAJASTHAN,98,DHOLPUR,7307,152.0,12.0,7471,2023-08-27
RAJASTHAN,99,DUNGARPUR,13206,127.0,2.0,13335,2023-08-27
RAJASTHAN,100,GANGANAGAR,48097,993.0,100.0,49190,2023-08-27
RAJASTHAN,101,HANUMANGARH,35533,526.0,60.0,36119,2023-08-27
RAJASTHAN,102,JAIPUR,279901,8981.0,877.0,289759,2023-08-27
RAJASTHAN,103,JAISALMER,10600,172.0,2.0,10774,2023-08-27
RAJASTHAN,104,JALORE,18961,360.0,7.0,19328,2023-08-27
RAJASTHAN,105,JHALAWAR,17866,333.0,10.0,18209,2023-08-27
RAJASTHAN,106,JHUNJHUNU,36954,443.0,23.0,37420,2023-08-27
RAJASTHAN,107,JODHPUR,91874,3014.0,210.0,95098,2023-08-27
RAJASTHAN,108,KARAULI,10214,157.0,4.0,10375,2023-08-27
RAJASTHAN,109,KOTA,44321,1381.0,112.0,45814,2023-08-27
RAJASTHAN,110,NAGAUR,52620,919.0,42.0,53581,2023-08-27
RAJASTHAN,111,PALI,38937,1037.0,53.0,40027,2023-08-27
RAJASTHAN,629,PRATAPGARH,9267,121.0,1.0,9389,2023-08-27
RAJASTHAN,112,RAJSAMAND,24073,408.0,8.0,24489,2023-08-27
RAJASTHAN,113,SAWAI MADHOPUR,14643,255.0,5.0,14903,2023-08-27
RAJASTHAN,114,SIKAR,53101,788.0,36.0,53925,2023-08-27
RAJASTHAN,115,SIROHI,15659,314.0,14.0,15987,2023-08-27
RAJASTHAN,116,TONK,21180,423.0,28.0,21631,2023-08-27
RAJASTHAN,117,UDAIPUR,56335,1493.0,143.0,57971,2023-08-27
