STATE,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price Date
Rajasthan,chittorgarh,Nimbahera,Wheat,Other,FAQ,2040.0,2668.0,2300.0,6/6/2023
Rajasthan,pratapgarh,Pratapgarh,Onion,Other,FAQ,476.0,1043.0,617.0,6/6/2023
Rajasthan,bharatpur,Bayana,Onion,Onion,FAQ,1000.0,1000.0,1000.0,6/6/2023
Rajasthan,pratapgarh,Pratapgarh,Wheat,Dara,FAQ,2250.0,2450.0,2300.0,6/6/2023
Rajasthan,hanumangarh,Rawatsar,Tomato,Deshi,FAQ,400.0,400.0,400.0,6/6/2023
Rajasthan,kota,Kota (F&V),Tomato,Other,FAQ,500.0,1000.0,600.0,6/6/2023
Rajasthan,tonk,Dooni,Wheat,147 Average,FAQ,2120.0,2140.0,2130.0,6/6/2023
Rajasthan,churu,Churu,Tomato,Hybrid,FAQ,1200.0,1400.0,1300.0,6/6/2023
Rajasthan,hanumangarh,Hanumangarh(Urlivas),Potato,(Red Nanital),FAQ,900.0,900.0,900.0,6/6/2023
Rajasthan,chittorgarh,Kapasan,Wheat,Lokwan,FAQ,2050.0,2250.0,2150.0,6/6/2023
Rajasthan,hanumangarh,Sangriya,Onion,Onion,FAQ,300.0,1800.0,1400.0,6/6/2023
Rajasthan,hanumangarh,Hanumangarh Town,Tomato,Deshi,FAQ,800.0,800.0,800.0,6/6/2023
Rajasthan,jodhpur,Jodhpur(F&V)(Paota),Tomato,Other,FAQ,700.0,1000.0,900.0,6/6/2023
Rajasthan,bharatpur,Bayana,Potato,Other,FAQ,800.0,800.0,800.0,6/6/2023
Rajasthan,bikaner,Bikaner (F&V),Potato,Other,FAQ,800.0,1000.0,900.0,6/6/2023
Rajasthan,bikaner,Lunkaransar,Wheat,Other,FAQ,2080.0,2350.0,2160.0,6/6/2023
Rajasthan,ajmer,Madanganj Kishangarh,Onion,1st Sort,FAQ,900.0,1100.0,1000.0,6/6/2023
Rajasthan,jalore,Jalore,Tomato,Other,FAQ,1300.0,1500.0,1400.0,6/6/2023
Rajasthan,rajsamand,Rajsamand,Potato,Potato,FAQ,1000.0,1200.0,1100.0,6/6/2023
Rajasthan,bundi,Bundi,Wheat,Other,FAQ,1725.0,2251.0,1988.0,6/6/2023
Rajasthan,rajsamand,Rajsamand,Tomato,Tomato,FAQ,800.0,1000.0,900.0,6/6/2023
Rajasthan,bikaner,Nokha,Wheat,Other,FAQ,2100.0,2232.0,2166.0,6/6/2023
Rajasthan,hanumangarh,Hanumangarh,Tomato,Deshi,FAQ,1600.0,1600.0,1600.0,6/6/2023
Rajasthan,hanumangarh,Hanumangarh,Potato,(Red Nanital),FAQ,900.0,900.0,900.0,6/6/2023
Rajasthan,churu,Churu,Potato,(Red Nanital),FAQ,1100.0,1300.0,1200.0,6/6/2023
Rajasthan,pratapgarh,Pratapgarh,Tomato,Deshi,FAQ,1600.0,1800.0,1680.0,6/6/2023
Rajasthan,bharatpur,Bayana,Tomato,Other,FAQ,800.0,800.0,800.0,6/6/2023
Rajasthan,baran,Baran,Wheat,Other,FAQ,2140.0,2699.0,2320.0,6/6/2023
Rajasthan,tonk,Tonk,Tomato,Deshi,FAQ,900.0,1101.0,1050.0,6/6/2023
Rajasthan,bhilwara,Bhilwara,Wheat,Other,FAQ,2215.0,2300.0,2250.0,6/6/2023
Rajasthan,sikar,Sikar,Tomato,Deshi,FAQ,300.0,1000.0,600.0,6/6/2023
